City,District,Landmark
Amsterdam,Jordaan,Anne Frank House
Amsterdam,Grachtengordel,Canal Belt (UNESCO World Heritage Site)
Amsterdam,De Pijp,Albert Cuyp Market
Amsterdam,Westerpark,Westerkerk
Amsterdam,Museumkwartier,Rijksmuseum
Amsterdam,Museumkwartier,Van Gogh Museum
Amsterdam,Centrum,Dam Square
Amsterdam,Centrum,Royal Palace of Amsterdam
Amsterdam,Plantage,Artis Royal Zoo
Amsterdam,Oud-West,Vondelpark
Athens,Plaka,Anafiotika
Athens,Monastiraki,Monastiraki Flea Market
Athens,Psiri,Psiri Neighborhood
Athens,Koukaki,Acropolis Museum
Athens,Kallithea,Stavros Niarchos Cultural Centre
Athens,Kolonaki,Mount Lycabettus
Athens,Pangrati,Plateia Varnava
Athens,Syntagma,Ermou Street
Athens,Thissio,Ancient Agora of Athens
Athens,Kerameikos,Kerameikos Cemetery
Barcelona,la Dreta de l'Eixample,Casa Batlló
Barcelona,la Nova Esquerra de l'Eixample,Joan Miró Park
Barcelona,el Raval,MACBA (Museum of Contemporary Art)
Barcelona,el Gòtic,Barcelona Cathedral
Barcelona,la Sagrada Família,Sagrada Família
Barcelona,el Parc i la Llacuna del Poblenou,Parc de la Ciutadella
Barcelona,el Poble-sec,Montjuïc Hill
Barcelona,la Vila de Gràcia,Park Güell
Barcelona,la Barceloneta,Barceloneta Beach
Berlin,Mitte,Brandenburg Gate
Berlin,Friedrichshain-Kreuzberg,East Side Gallery
Berlin,Charlottenburg-Wilmersdorf,Charlottenburg Palace
Berlin,Neukölln,Körnerpark
Berlin,Tempelhof-Schöneberg,Tempelhofer Feld
Berlin,Reinickendorf,Tegeler See
Budapest,Vár,Buda Castle
Budapest,Lipótváros,Hungarian Parliament Building
Budapest,Terézváros,Andrássy Avenue
Budapest,Erzsébetváros,Dohány Street Synagogue
Budapest,Józsefváros,Hungarian National Museum
Budapest,Újlipótváros,Margaret Island
Budapest,Óbuda,Aquincum Museum
Budapest,Rózsadomb,Rózsadomb Hill
Lisbon,Alfama,São Jorge Castle
Lisbon,Belém,Jerónimos Monastery
Lisbon,Chiado,Carmo Convent
Lisbon,Bairro Alto,Miradouro de São Pedro de Alcântara
Lisbon,Baixa,Praça do Comércio
Lisbon,Parque das Nações,Oceanário de Lisboa
Lisbon,Graça,Miradouro da Senhora do Monte
Lisbon,Mouraria,Martim Moniz Square
London,City of London,St. Paul's Cathedral
London,Westminster,Houses of Parliament
London,Camden,British Museum
London,Kensington and Chelsea,Natural History Museum
London,Tower Hamlets,Tower of London
London,Southwark,The Shard
London,Lambeth,London Eye
Paris,Paris 1er Arrondissement,Louvre Museum
Paris,Paris 4e Arrondissement,Notre-Dame Cathedral
Paris,Paris 7e Arrondissement,Eiffel Tower
Paris,Paris 8e Arrondissement,Champs-Élysées
Paris,Paris 9e Arrondissement,Palais Garnier
Paris,Paris 18e Arrondissement,Sacré-Cœur Basilica
Paris,Paris 19e Arrondissement,Parc des Buttes-Chaumont
Rome,Monti,Colosseum
Rome,Campo Marzio,Piazza di Spagna
Rome,Parione,Piazza Navona
Rome,Trastevere,Santa Maria in Trastevere
Rome,Testaccio,Testaccio Market
Rome,Esquilino,Basilica di Santa Maria Maggiore
Rome,Prati,Vatican Museums
Rome,Ludovisi,Villa Borghese
Vienna,Innere Stadt,St. Stephen's Cathedral
Vienna,Leopoldstadt,Prater Park
Vienna,Landstraße,Belvedere Palace
Vienna,Wieden,Karlskirche
Vienna,Margareten,Naschmarkt
Vienna,Mariahilf,Mariahilfer Straße
Vienna,Neubau,MuseumsQuartier
Vienna,Josefstadt,Theater in der Josefstadt
Vienna,Alsergrund,Sigmund Freud Museum
Vienna,Favoriten,Oberlaa Thermal Baths
